stock_id,location,sabor,estado,cantidad_latas,kg_referencia_lata,peso_inicial_bruto_kg,tara_inicial_kg,peso_inicial_neto_kg,peso_actual_bruto_kg,tara_actual_kg,peso_actual_neto_kg,created_at,updated_at,active
SAL-0031,SALON,c,ABIERTA,1,,6.495,0.38,6.115,6.495,0.38,6.115,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0032,SALON,d,ABIERTA,1,,1.695,0.38,1.315,1.695,0.38,1.315,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0033,SALON,e,ABIERTA,1,,8.58,0.38,8.2,8.58,0.38,8.2,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0034,SALON,f,ABIERTA,1,,4.71,0.38,4.33,4.71,0.38,4.33,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0035,SALON,g,ABIERTA,1,,2.67,0.38,2.29,2.67,0.38,2.29,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0036,SALON,h,ABIERTA,1,,6.65,0.38,6.2700000000000005,6.65,0.38,6.2700000000000005,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0037,SALON,i,ABIERTA,1,,6.07,0.38,5.69,6.07,0.38,5.69,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0038,SALON,j,ABIERTA,1,,7.01,0.38,6.63,7.01,0.38,6.63,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0039,SALON,k,ABIERTA,1,,2.775,0.38,2.395,2.775,0.38,2.395,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0040,SALON,l,ABIERTA,1,,8.595,0.38,8.215,8.595,0.38,8.215,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0041,SALON,m,ABIERTA,1,,7.03,0.38,6.65,7.03,0.38,6.65,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0042,SALON,n,ABIERTA,1,,4.81,0.38,4.43,4.81,0.38,4.43,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0043,SALON,o,ABIERTA,1,,8.16,0.38,7.78,8.16,0.38,7.78,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0044,SALON,p,ABIERTA,1,,8.605,0.38,8.225,8.605,0.38,8.225,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0045,SALON,q,ABIERTA,1,,8.3,0.38,7.920000000000001,8.3,0.38,7.920000000000001,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0046,SALON,r,ABIERTA,1,,5.93,0.38,5.55,5.93,0.38,5.55,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0047,SALON,s,ABIERTA,1,,2.98,0.38,2.6,2.98,0.38,2.6,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0048,SALON,t,ABIERTA,1,,5.585,0.38,5.205,5.585,0.38,5.205,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0049,SALON,u,ABIERTA,1,,6.36,0.38,5.98,6.36,0.38,5.98,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0050,SALON,v,ABIERTA,1,,7.325,0.38,6.945,7.325,0.38,6.945,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0051,SALON,w,ABIERTA,1,,1.56,0.38,1.1800000000000002,1.56,0.38,1.1800000000000002,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0052,SALON,y,ABIERTA,1,,2.155,0.38,1.775,2.155,0.38,1.775,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0053,SALON,z,ABIERTA,1,,2.52,0.38,2.14,2.52,0.38,2.14,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0054,SALON,aa,ABIERTA,1,,3.44,0.38,3.06,3.44,0.38,3.06,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0055,SALON,bb,ABIERTA,1,,1.93,0.38,1.5499999999999998,1.93,0.38,1.5499999999999998,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0056,SALON,cc,ABIERTA,1,,5.32,0.38,4.94,5.32,0.38,4.94,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0057,SALON,dd,ABIERTA,1,,6.875,0.38,6.495,6.875,0.38,6.495,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0058,SALON,ee,ABIERTA,1,,2.99,0.38,2.6100000000000003,2.99,0.38,2.6100000000000003,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0059,SALON,hh,ABIERTA,1,,7.095,0.38,6.715,7.095,0.38,6.715,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0060,SALON,ii,ABIERTA,1,,9.38,0.38,9.0,9.38,0.38,9.0,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0061,SALON,jj,ABIERTA,1,,5.835,0.38,5.455,5.835,0.38,5.455,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0062,SALON,kk,ABIERTA,1,,2.615,0.38,2.2350000000000003,2.615,0.38,2.2350000000000003,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0063,SALON,ll,ABIERTA,1,,2.46,0.38,2.08,2.46,0.38,2.08,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0064,SALON,mm,ABIERTA,1,,12.99,0.38,12.61,12.99,0.38,12.61,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
