movement_id,operation_id,timestamp,week_id,movement_type,from_location,to_location,source_stock_id,target_stock_id,sabor,cantidad_latas,peso_bruto_kg,tara_kg,peso_neto_kg,tara_final_kg,residuo_final_kg,notes
MOV-000017,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000017,DULCE_DE_LECHE_GRANIZADO,1,7.715,0.38,7.335,,,
MOV-000018,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000018,DULCE_DE_LECHE_CON_NUEZ,1,7.885,0.38,7.505,,,
MOV-000019,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000019,SUPER_DULCE_DE_LECHE,1,8.02,0.38,7.64,,,
MOV-000020,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000020,MASCARPONE,1,7.8,0.38,7.42,,,
MOV-000021,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000021,DULCE_DE_LECHE_BROWNIE,1,8.085,0.38,7.705000000000001,,,
MOV-000022,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000022,CREMA_COOKIE,1,7.915,0.38,7.535,,,
MOV-000023,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000023,AMERICANA,1,8.065,0.38,7.685,,,
MOV-000024,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000024,TRAMONTANA,1,8.105,0.38,7.725,,,
MOV-000025,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000025,GRANIZADO,1,8.175,0.38,7.795000000000001,,,
MOV-000026,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000026,BANANA,1,8.095,0.38,7.715000000000001,,,
MOV-000027,,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-000027,FRUTILLA_A_LA_CREMA,1,8.095,0.38,7.715000000000001,,,
