stock_id,sabor,estado,source_camera_stock_id,ingresada_salon_at,kg_referencia_lata,peso_inicial_bruto_kg,tara_inicial_kg,peso_inicial_neto_kg,opened_at,opened_operation_id,peso_actual_bruto_kg,tara_actual_kg,peso_actual_neto_kg,finished_at,peso_final_bruto_kg,tara_final_kg,residuo_final_kg,finished_operation_id,created_at,updated_at,active
SAL-0029,a,ABIERTA,,,,6.47,0.38,6.09,,,6.47,0.38,6.09,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0030,b,ABIERTA,,,,7.96,0.38,7.58,,,7.96,0.38,7.58,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0031,c,ABIERTA,,,,6.495,0.38,6.115,,,6.495,0.38,6.115,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0032,d,ABIERTA,,,,1.695,0.38,1.315,,,1.695,0.38,1.315,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0033,e,ABIERTA,,,,8.58,0.38,8.2,,,8.58,0.38,8.2,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0034,f,ABIERTA,,,,4.71,0.38,4.33,,,4.71,0.38,4.33,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0035,g,ABIERTA,,,,2.67,0.38,2.29,,,2.67,0.38,2.29,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0036,h,ABIERTA,,,,6.65,0.38,6.2700000000000005,,,6.65,0.38,6.2700000000000005,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0037,i,ABIERTA,,,,6.07,0.38,5.69,,,6.07,0.38,5.69,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0038,j,ABIERTA,,,,7.01,0.38,6.63,,,7.01,0.38,6.63,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0039,k,ABIERTA,,,,2.775,0.38,2.395,,,2.775,0.38,2.395,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0040,l,ABIERTA,,,,8.595,0.38,8.215,,,8.595,0.38,8.215,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0041,m,ABIERTA,,,,7.03,0.38,6.65,,,7.03,0.38,6.65,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0042,n,ABIERTA,,,,4.81,0.38,4.43,,,4.81,0.38,4.43,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0043,o,ABIERTA,,,,8.16,0.38,7.78,,,8.16,0.38,7.78,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0044,p,ABIERTA,,,,8.605,0.38,8.225,,,8.605,0.38,8.225,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0045,q,ABIERTA,,,,8.3,0.38,7.920000000000001,,,8.3,0.38,7.920000000000001,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0046,r,ABIERTA,,,,5.93,0.38,5.55,,,5.93,0.38,5.55,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0047,s,ABIERTA,,,,2.98,0.38,2.6,,,2.98,0.38,2.6,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0048,t,ABIERTA,,,,5.585,0.38,5.205,,,5.585,0.38,5.205,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0049,u,ABIERTA,,,,6.36,0.38,5.98,,,6.36,0.38,5.98,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0050,v,ABIERTA,,,,7.325,0.38,6.945,,,7.325,0.38,6.945,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0051,w,ABIERTA,,,,1.56,0.38,1.1800000000000002,,,1.56,0.38,1.1800000000000002,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0052,y,ABIERTA,,,,2.155,0.38,1.775,,,2.155,0.38,1.775,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0053,z,ABIERTA,,,,2.52,0.38,2.14,,,2.52,0.38,2.14,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0054,aa,ABIERTA,,,,3.44,0.38,3.06,,,3.44,0.38,3.06,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0055,bb,ABIERTA,,,,1.93,0.38,1.5499999999999998,,,1.93,0.38,1.5499999999999998,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0056,cc,ABIERTA,,,,5.32,0.38,4.94,,,5.32,0.38,4.94,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0057,dd,ABIERTA,,,,6.875,0.38,6.495,,,6.875,0.38,6.495,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0058,ee,ABIERTA,,,,2.99,0.38,2.6100000000000003,,,2.99,0.38,2.6100000000000003,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0059,hh,ABIERTA,,,,7.095,0.38,6.715,,,7.095,0.38,6.715,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0060,ii,ABIERTA,,,,9.38,0.38,9.0,,,9.38,0.38,9.0,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0061,jj,ABIERTA,,,,5.835,0.38,5.455,,,5.835,0.38,5.455,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0062,kk,ABIERTA,,,,2.615,0.38,2.2350000000000003,,,2.615,0.38,2.2350000000000003,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0063,ll,ABIERTA,,,,2.46,0.38,2.08,,,2.46,0.38,2.08,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
SAL-0064,mm,ABIERTA,,,,12.99,0.38,12.61,,,12.99,0.38,12.61,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-11T22:39:19.672376-03:00,True
