movement_id,timestamp,week_id,movement_type,from_location,to_location,source_stock_id,target_stock_id,sabor,cantidad_latas,peso_bruto_kg,tara_kg,peso_neto_kg,notes
MOV_4d8ac9dd1220,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,a,1,6.47,0.38,6.09,
MOV_6bdc968f4b91,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,b,1,7.96,0.38,7.58,
MOV_27f139a06241,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,c,1,6.495,0.38,6.115,
MOV_45d25d09efed,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,d,1,1.695,0.38,1.315,
MOV_49b6e48932d5,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,e,1,8.58,0.38,8.2,
MOV_4e164e76bda8,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,f,1,4.71,0.38,4.33,
MOV_3bde30a4b568,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,g,1,2.67,0.38,2.29,
MOV_2df8a314cc63,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,h,1,6.65,0.38,6.2700000000000005,
MOV_0ff6c27e9013,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,i,1,6.07,0.38,5.69,
MOV_376a858c0fd9,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,j,1,7.01,0.38,6.63,
MOV_a823f1a2c284,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,k,1,2.775,0.38,2.395,
MOV_118e60a302d7,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,l,1,8.595,0.38,8.215,
MOV_ce26c968b954,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,m,1,7.03,0.38,6.65,
MOV_02c8b33fba72,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,n,1,4.81,0.38,4.43,
MOV_e36119b3c333,2026-08-11T22:39:19.672376-03:00,WEEK_e35ff34e86b4,CARGA_MANUAL_SALON,INICIAL,SALON,,SAL-0001,o,1,8.16,0.38,7.78,
