count_id,week_id,count_type,timestamp,location,stock_id,sabor,estado,peso_bruto_kg,tara_kg,peso_neto_kg,notes
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,CAPUCCINO_GRANIZADO,CERRADA,7.735,0.38,7.355,
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,ANANA,CERRADA,7.82,0.38,7.44,
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,CHOCOLATE_MANI_CRUNCH,CERRADA,7.85,0.38,7.47,
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,QUINOTO,CERRADA,8.075,0.38,7.694999999999999,
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,CHOCOLATE_SUIZO,CERRADA,8.0,0.38,7.62,
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,CHOCOLATE,CERRADA,7.99,0.38,7.61,
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,CHOCOLATE_BLANCO,CERRADA,8.005,0.38,7.625000000000001,
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,CHOCOLATE_CON_ALMENDRAS,CERRADA,8.015,0.38,7.635000000000001,
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,GRIDO_MARROC,CERRADA,7.97,0.38,7.59,
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,CREMA_RUSA,CERRADA,7.9,0.38,7.52,
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,TIRAMISU,CERRADA,7.915,0.38,7.535,
COUNT_c7a8d5ddf20b,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0001,SUPER_GRIDITO,CERRADA,8.215,0.38,7.835,
