count_id,week_id,count_type,timestamp,location,stock_id,sabor,estado,peso_bruto_kg,tara_kg,peso_neto_kg,notes
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0033,e,ABIERTA,8.58,0.38,8.2,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0034,f,ABIERTA,4.71,0.38,4.33,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0035,g,ABIERTA,2.67,0.38,2.29,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0036,h,ABIERTA,6.65,0.38,6.2700000000000005,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0037,i,ABIERTA,6.07,0.38,5.69,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0038,j,ABIERTA,7.01,0.38,6.63,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0039,k,ABIERTA,2.775,0.38,2.395,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0040,l,ABIERTA,8.595,0.38,8.215,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0041,m,ABIERTA,7.03,0.38,6.65,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0042,n,ABIERTA,4.81,0.38,4.43,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0043,o,ABIERTA,8.16,0.38,7.78,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0044,p,ABIERTA,8.605,0.38,8.225,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0045,q,ABIERTA,8.3,0.38,7.920000000000001,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0046,r,ABIERTA,5.93,0.38,5.55,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0047,s,ABIERTA,2.98,0.38,2.6,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0048,t,ABIERTA,5.585,0.38,5.205,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0049,u,ABIERTA,6.36,0.38,5.98,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0050,v,ABIERTA,7.325,0.38,6.945,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0051,w,ABIERTA,1.56,0.38,1.1800000000000002,
COUNT-000001,WEEK_e35ff34e86b4,INICIO_SEMANA,2026-08-11T22:39:19.672376-03:00,SALON,SAL-0052,y,ABIERTA,2.155,0.38,1.775,
