stock_id,sabor,estado,source_camera_stock_id,ingresada_salon_at,kg_referencia_lata,peso_inicial_bruto_kg,tara_inicial_kg,peso_inicial_neto_kg,opened_at,opened_operation_id,peso_actual_bruto_kg,tara_actual_kg,peso_actual_neto_kg,finished_at,peso_final_bruto_kg,tara_final_kg,residuo_final_kg,finished_operation_id,created_at,updated_at,active
SAL-000026,SAMBAYON,AGOTADA,,,,8.095,0.38,7.715000000000001,,,0.37,0.37,0.0,2026-08-23T16:33:32.488392-03:00,0.37,0.37,0.0,RECAMBIO-000011,2026-08-11T22:39:19.672376-03:00,2026-08-23T16:33:32.488392-03:00,False
SAL-000027,FRUTILLA_A_LA_CREMA,ABIERTA,,,,8.095,0.38,7.715000000000001,2026-08-23T14:29:17.187612-03:00,RECAMBIO-000010,4.53,0.378,4.152,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000028,DURAZNO_A_LA_CREMA,CERRADA,,,,7.65,0.38,7.27,,,7.615,0.378,7.237,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000029,MARACUYA_AL_AGUA,ABIERTA,,,,6.47,0.38,6.09,,,5.03,0.378,4.652,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000030,LIMON_AL_AGUA,ABIERTA,,,,7.96,0.38,7.58,,,1.485,0.378,1.107,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000031,FRUTILLA_AL_AGUA,ABIERTA,,,,6.495,0.38,6.115,,,5.72,0.378,5.342,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000032,FRUTILLA_A_LA_CREMA,AGOTADA,,,,1.695,0.38,1.315,,,0.335,0.335,0.0,2026-08-23T14:29:17.187612-03:00,0.335,0.335,0.0,RECAMBIO-000010,2026-08-11T22:39:19.672376-03:00,2026-08-23T14:29:17.187612-03:00,False
SAL-000033,TRAMONTANA,AGOTADA,,,,8.58,0.38,8.2,,,0.335,0.335,0.0,2026-08-23T14:23:59.988357-03:00,0.335,0.335,0.0,RECAMBIO-000008,2026-08-11T22:39:19.672376-03:00,2026-08-23T14:23:59.988357-03:00,False
SAL-000034,CREMA_COOKIE,ABIERTA,,,,4.71,0.38,4.33,,,2.125,0.378,1.747,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000035,AMERICANA,ABIERTA,,,,2.67,0.38,2.29,,,3.445,0.378,3.067,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000036,DULCE_DE_LECHE_BROWNIE,AGOTADA,,,,6.65,0.38,6.2700000000000005,,,0.365,0.365,0.0,2026-08-24T22:31:23.176769-03:00,0.365,0.365,0.0,RECAMBIO-000015,2026-08-11T22:39:19.672376-03:00,2026-08-24T22:31:23.176769-03:00,False
SAL-000037,SUPER_DULCE_DE_LECHE,AGOTADA,,,,6.07,0.38,5.69,,,0.385,0.385,0.0,2026-08-23T17:16:18.888235-03:00,0.385,0.385,0.005,RECAMBIO-000012,2026-08-11T22:39:19.672376-03:00,2026-08-23T17:16:18.888235-03:00,False
SAL-000038,DULCE_DE_LECHE_GRANIZADO,AGOTADA,,,,7.01,0.38,6.63,,,0.425,0.425,0.0,2026-08-23T17:25:29.352689-03:00,0.425,0.425,0.045,RECAMBIO-000013,2026-08-11T22:39:19.672376-03:00,2026-08-23T17:25:29.352689-03:00,False
SAL-000039,MENTA_GRANIZADO,ABIERTA,,,,2.775,0.38,2.395,,,4.435,0.378,4.057,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000040,SUPER_GRIDITO,ABIERTA,,,,8.595,0.38,8.215,,,4.605,0.378,4.227,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000041,CREMA_RUSA,ABIERTA,,,,7.03,0.38,6.65,,,6.0,0.378,5.622,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000042,CHOCOLATE_BLANCO,ABIERTA,,,,4.81,0.38,4.43,,,6.135,0.378,5.757,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000043,CHOCOLATE_CON_ALMENDRAS,AGOTADA,,,,8.16,0.38,7.78,,,0.38,0.38,0.0,2026-08-23T14:17:29.527810-03:00,0.38,0.38,0.0,RECAMBIO-000006,2026-08-11T22:39:19.672376-03:00,2026-08-23T14:17:29.527810-03:00,False
SAL-000044,CHOCOLATE,AGOTADA,,,,8.605,0.38,8.225,,,0.36,0.36,0.0,2026-08-19T00:54:50.339120-03:00,0.36,0.36,0.0,RECAMBIO-000002,2026-08-11T22:39:19.672376-03:00,2026-08-19T00:54:50.339120-03:00,False
SAL-000045,CHOCOLATE_SUIZO,ABIERTA,,,,8.3,0.38,7.920000000000001,,,3.13,0.378,2.752,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000046,CHOCOLATE_MANI_CRUNCH,ABIERTA,,,,5.93,0.38,5.55,,,4.95,0.378,4.572,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000047,QUINOTO,AGOTADA,,,,2.98,0.38,2.6,,,0.48,0.48,0.0,2026-08-23T14:22:05.041607-03:00,0.48,0.48,0.1,RECAMBIO-000007,2026-08-11T22:39:19.672376-03:00,2026-08-23T14:22:05.041607-03:00,False
SAL-000048,ANANA,ABIERTA,,,,5.585,0.38,5.205,,,5.95,0.378,5.572,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000049,CHOCOLATE_BLANCO_OREO,AGOTADA,,,,6.36,0.38,5.98,,,0.465,0.465,0.0,2026-08-23T14:13:52.505637-03:00,0.465,0.465,0.085,RECAMBIO-000005,2026-08-11T22:39:19.672376-03:00,2026-08-23T14:13:52.505637-03:00,False
SAL-000050,CAPUCCINO_GRANIZADO,AGOTADA,,,,7.325,0.38,6.945,,,0.355,0.355,0.0,2026-08-24T22:28:28.724322-03:00,0.355,0.355,0.0,RECAMBIO-000014,2026-08-11T22:39:19.672376-03:00,2026-08-24T22:28:28.724322-03:00,False
SAL-000051,CHOCOLATE_DUBAI,AGOTADA,,,,1.56,0.38,1.1800000000000002,,,0.345,0.345,0.0,2026-08-23T14:03:27.877904-03:00,0.345,0.345,0.0,RECAMBIO-000003,2026-08-11T22:39:19.672376-03:00,2026-08-23T14:03:27.877904-03:00,False
SAL-000052,FLAN,AGOTADA,,,,2.155,0.38,1.775,,,0.315,0.315,0.0,2026-08-23T14:08:22.423520-03:00,0.315,0.315,0.0,RECAMBIO-000004,2026-08-11T22:39:19.672376-03:00,2026-08-23T14:08:22.423520-03:00,False
SAL-000053,VAINILLA,ABIERTA,,,,2.52,0.38,2.14,,,5.42,0.378,5.042,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000054,MANGO_AL_AGUA,ABIERTA,,,,3.44,0.38,3.06,,,6.63,0.378,6.252,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000055,FRUTOS_ROJOS_AL_AGUA,ABIERTA,,,,1.93,0.38,1.5499999999999998,,,5.105,0.378,4.727,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000056,DURAZNO_A_LA_CREMA,ABIERTA,,,,5.32,0.38,4.94,,,3.24,0.378,2.862,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000057,BANANA,AGOTADA,,,,6.875,0.38,6.495,,,0.37,0.37,0.0,2026-08-23T14:25:31.870099-03:00,0.37,0.37,0.0,RECAMBIO-000009,2026-08-11T22:39:19.672376-03:00,2026-08-23T14:25:31.870099-03:00,False
SAL-000058,GRANIZADO,ABIERTA,,,,2.99,0.38,2.6100000000000003,,,1.92,0.378,1.542,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000059,MASCARPONE,AGOTADA,,,,7.095,0.38,6.715,,,0.335,0.335,0.0,2026-08-19T00:52:40.090409-03:00,0.335,0.335,0.0,RECAMBIO-000001,2026-08-11T22:39:19.672376-03:00,2026-08-19T00:52:40.090409-03:00,False
SAL-000060,DULCE_DE_LECHE_CON_NUEZ,ABIERTA,,,,9.38,0.38,9.0,,,3.9,0.378,3.522,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000061,DULCE_DE_LECHE,ABIERTA,,,,5.835,0.38,5.455,,,1.465,0.378,1.087,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000062,CEREZA,ABIERTA,,,,2.615,0.38,2.2350000000000003,,,2.005,0.378,1.627,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000063,TIRAMISU,ABIERTA,,,,2.46,0.38,2.08,,,2.14,0.378,1.762,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000064,GRIDO_MARROC,ABIERTA,,,,12.99,0.38,12.61,,,1.74,0.378,1.362,,,,,,2026-08-11T22:39:19.672376-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000065,MASCARPONE,CERRADA,CAM-MAS-000001,2026-08-19T00:52:40.090409-03:00,7.8,7.88,0.38,7.5,,,7.88,0.378,7.502,,,,,,2026-08-19T00:52:40.090409-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000066,CHOCOLATE,ABIERTA,CAM-CHO-000001,2026-08-19T00:54:50.339120-03:00,7.8,8.15,0.38,7.77,2026-08-24T22:32:28.437203-03:00,RECAMBIO-000016,8.625,0.378,8.247,,,,,,2026-08-19T00:54:50.339120-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000067,CHOCOLATE_DUBAI,ABIERTA,,,7.94,7.94,0.38,7.56,2026-08-23T14:03:27.877904-03:00,RECAMBIO-000003,5.0,0.378,4.622,,,,,,2026-08-23T13:44:09.250339-03:00,2026-08-26T19:01:39.978354-03:00,True
SAL-000068,AMERICANA,CERRADA,,,8.055,8.055,0.38,7.675,,,8.055,0.378,7.677,,,,,,2026-08-23T13:44:09.250339-03:00,2026-08-26T19:01:39.978354-03:00,True
