camera_stock_id,sabor,estado,kg_referencia_lata,ingresada_camera_at,moved_to_salon_at,target_salon_stock_id,legacy_batch_id,created_at,updated_at,active
CAM-MAR-000002,GRIDO_MARROC,DISPONIBLE,7.8,2026-08-14T19:52:29.846432-03:00,,,,2026-08-14T19:52:29.846432-03:00,2026-08-14T19:52:29.846432-03:00,True
CAM-MAR-000003,GRIDO_MARROC,DISPONIBLE,7.8,2026-08-14T19:52:29.846432-03:00,,,,2026-08-14T19:52:29.846432-03:00,2026-08-14T19:52:29.846432-03:00,True
CAM-MAR-000004,GRIDO_MARROC,DISPONIBLE,7.8,2026-08-14T19:52:29.846432-03:00,,,,2026-08-14T19:52:29.846432-03:00,2026-08-14T19:52:29.846432-03:00,True
CAM-MAR-000005,GRIDO_MARROC,DISPONIBLE,7.8,2026-08-14T19:52:29.846432-03:00,,,,2026-08-14T19:52:29.846432-03:00,2026-08-14T19:52:29.846432-03:00,True
CAM-MAR-000006,GRIDO_MARROC,DISPONIBLE,7.8,2026-08-14T19:52:29.846432-03:00,,,,2026-08-14T19:52:29.846432-03:00,2026-08-14T19:52:29.846432-03:00,True
CAM-MAR-000007,GRIDO_MARROC,ANULADA,7.8,2026-08-14T19:52:29.846432-03:00,,,,2026-08-14T19:52:29.846432-03:00,2026-08-17T21:20:30.627112-03:00,False
CAM-TIR-000001,TIRAMISU,DISPONIBLE,7.8,2026-08-14T19:52:43.362581-03:00,,,,2026-08-14T19:52:43.362581-03:00,2026-08-14T19:52:43.362581-03:00,True
CAM-TIR-000002,TIRAMISU,DISPONIBLE,7.8,2026-08-14T19:52:43.362581-03:00,,,,2026-08-14T19:52:43.362581-03:00,2026-08-14T19:52:43.362581-03:00,True
CAM-TIR-000003,TIRAMISU,DISPONIBLE,7.8,2026-08-14T19:52:43.362581-03:00,,,,2026-08-14T19:52:43.362581-03:00,2026-08-14T19:52:43.362581-03:00,True
CAM-CAP-000001,CAPUCCINO_GRANIZADO,DISPONIBLE,7.8,2026-08-14T19:53:24.691538-03:00,,,,2026-08-14T19:53:24.691538-03:00,2026-08-14T19:53:24.691538-03:00,True
CAM-CAP-000002,CAPUCCINO_GRANIZADO,DISPONIBLE,7.8,2026-08-14T19:53:24.691538-03:00,,,,2026-08-14T19:53:24.691538-03:00,2026-08-14T19:53:24.691538-03:00,True
CAM-MEN-000001,MENTA_GRANIZADO,DISPONIBLE,7.8,2026-08-14T19:53:45.292838-03:00,,,,2026-08-14T19:53:45.292838-03:00,2026-08-14T19:53:45.292838-03:00,True
CAM-MEN-000002,MENTA_GRANIZADO,DISPONIBLE,7.8,2026-08-14T19:53:45.292838-03:00,,,,2026-08-14T19:53:45.292838-03:00,2026-08-14T19:53:45.292838-03:00,True
CAM-MEN-000003,MENTA_GRANIZADO,ANULADA,7.8,2026-08-14T19:53:45.292838-03:00,,,,2026-08-14T19:53:45.292838-03:00,2026-08-17T21:20:30.627112-03:00,False
CAM-CER-000001,CEREZA,DISPONIBLE,7.8,2026-08-14T19:55:18.021930-03:00,,,,2026-08-14T19:55:18.021930-03:00,2026-08-14T19:55:18.021930-03:00,True
CAM-CER-000002,CEREZA,DISPONIBLE,7.8,2026-08-14T19:55:18.021930-03:00,,,,2026-08-14T19:55:18.021930-03:00,2026-08-14T19:55:18.021930-03:00,True
CAM-CER-000003,CEREZA,DISPONIBLE,7.8,2026-08-14T19:55:18.021930-03:00,,,,2026-08-14T19:55:18.021930-03:00,2026-08-14T19:55:18.021930-03:00,True
CAM-ANA-000001,ANANA,DISPONIBLE,7.8,2026-08-14T19:55:35.719543-03:00,,,,2026-08-14T19:55:35.719543-03:00,2026-08-14T19:55:35.719543-03:00,True
CAM-ANA-000002,ANANA,DISPONIBLE,7.8,2026-08-14T19:55:35.719543-03:00,,,,2026-08-14T19:55:35.719543-03:00,2026-08-14T19:55:35.719543-03:00,True
CAM-ANA-000003,ANANA,DISPONIBLE,7.8,2026-08-14T19:55:35.719543-03:00,,,,2026-08-14T19:55:35.719543-03:00,2026-08-14T19:55:35.719543-03:00,True
CAM-QUI-000001,QUINOTO,MOVIDA_SALON,7.8,2026-08-14T19:56:03.331625-03:00,2026-08-23T14:22:05.041607-03:00,SAL-000075,,2026-08-14T19:56:03.331625-03:00,2026-08-23T14:22:05.041607-03:00,False
CAM-QUI-000002,QUINOTO,DISPONIBLE,7.8,2026-08-14T19:56:03.331625-03:00,,,,2026-08-14T19:56:03.331625-03:00,2026-08-14T19:56:03.331625-03:00,True
CAM-QUI-000003,QUINOTO,DISPONIBLE,7.8,2026-08-14T19:56:03.331625-03:00,,,,2026-08-14T19:56:03.331625-03:00,2026-08-14T19:56:03.331625-03:00,True
CAM-QUI-000004,QUINOTO,DISPONIBLE,7.8,2026-08-14T19:56:03.331625-03:00,,,,2026-08-14T19:56:03.331625-03:00,2026-08-14T19:56:03.331625-03:00,True
CAM-MAS-000001,MASCARPONE,MOVIDA_SALON,7.8,2026-08-14T19:56:21.445818-03:00,2026-08-19T00:52:40.090409-03:00,SAL-000065,,2026-08-14T19:56:21.445818-03:00,2026-08-19T00:52:40.090409-03:00,False
CAM-MAS-000002,MASCARPONE,DISPONIBLE,7.8,2026-08-14T19:56:21.445818-03:00,,,,2026-08-14T19:56:21.445818-03:00,2026-08-14T19:56:21.445818-03:00,True
CAM-MAS-000003,MASCARPONE,DISPONIBLE,7.8,2026-08-14T19:56:21.445818-03:00,,,,2026-08-14T19:56:21.445818-03:00,2026-08-14T19:56:21.445818-03:00,True
CAM-MAS-000004,MASCARPONE,DISPONIBLE,7.8,2026-08-14T19:56:21.445818-03:00,,,,2026-08-14T19:56:21.445818-03:00,2026-08-14T19:56:21.445818-03:00,True
CAM-MAS-000005,MASCARPONE,DISPONIBLE,7.8,2026-08-14T19:56:21.445818-03:00,,,,2026-08-14T19:56:21.445818-03:00,2026-08-14T19:56:21.445818-03:00,True
CAM-MAS-000006,MASCARPONE,DISPONIBLE,7.8,2026-08-14T19:56:21.445818-03:00,,,,2026-08-14T19:56:21.445818-03:00,2026-08-14T19:56:21.445818-03:00,True
CAM-MAS-000007,MASCARPONE,DISPONIBLE,7.8,2026-08-14T19:56:21.445818-03:00,,,,2026-08-14T19:56:21.445818-03:00,2026-08-14T19:56:21.445818-03:00,True
CAM-FAC-000001,FRUTILLA_A_LA_CREMA,MOVIDA_SALON,7.8,2026-08-14T19:56:44.027029-03:00,2026-08-23T14:29:17.187612-03:00,SAL-000078,,2026-08-14T19:56:44.027029-03:00,2026-08-23T14:29:17.187612-03:00,False
CAM-FAC-000002,FRUTILLA_A_LA_CREMA,DISPONIBLE,7.8,2026-08-14T19:56:44.027029-03:00,,,,2026-08-14T19:56:44.027029-03:00,2026-08-14T19:56:44.027029-03:00,True
CAM-FAC-000003,FRUTILLA_A_LA_CREMA,DISPONIBLE,7.8,2026-08-14T19:56:44.027029-03:00,,,,2026-08-14T19:56:44.027029-03:00,2026-08-14T19:56:44.027029-03:00,True
CAM-FAC-000004,FRUTILLA_A_LA_CREMA,DISPONIBLE,7.8,2026-08-14T19:56:44.027029-03:00,,,,2026-08-14T19:56:44.027029-03:00,2026-08-14T19:56:44.027029-03:00,True
CAM-FAC-000005,FRUTILLA_A_LA_CREMA,DISPONIBLE,7.8,2026-08-14T19:56:44.027029-03:00,,,,2026-08-14T19:56:44.027029-03:00,2026-08-14T19:56:44.027029-03:00,True
CAM-FAC-000006,FRUTILLA_A_LA_CREMA,DISPONIBLE,7.8,2026-08-14T19:56:44.027029-03:00,,,,2026-08-14T19:56:44.027029-03:00,2026-08-14T19:56:44.027029-03:00,True
CAM-FAC-000007,FRUTILLA_A_LA_CREMA,DISPONIBLE,7.8,2026-08-14T19:56:44.027029-03:00,,,,2026-08-14T19:56:44.027029-03:00,2026-08-14T19:56:44.027029-03:00,True
CAM-FAC-000008,FRUTILLA_A_LA_CREMA,DISPONIBLE,7.8,2026-08-14T19:56:44.027029-03:00,,,,2026-08-14T19:56:44.027029-03:00,2026-08-14T19:56:44.027029-03:00,True
CAM-FAC-000009,FRUTILLA_A_LA_CREMA,ANULADA,7.8,2026-08-14T19:56:44.027029-03:00,,,,2026-08-14T19:56:44.027029-03:00,2026-08-17T21:24:43.456014-03:00,False
CAM-DAC-000001,DURAZNO_A_LA_CREMA,DISPONIBLE,7.8,2026-08-14T19:56:58.201145-03:00,,,,2026-08-14T19:56:58.201145-03:00,2026-08-14T19:56:58.201145-03:00,True
CAM-DAC-000002,DURAZNO_A_LA_CREMA,DISPONIBLE,7.8,2026-08-14T19:56:58.201145-03:00,,,,2026-08-14T19:56:58.201145-03:00,2026-08-14T19:56:58.201145-03:00,True
CAM-DAC-000003,DURAZNO_A_LA_CREMA,DISPONIBLE,7.8,2026-08-14T19:56:58.201145-03:00,,,,2026-08-14T19:56:58.201145-03:00,2026-08-14T19:56:58.201145-03:00,True
CAM-FAA-000001,FRUTILLA_AL_AGUA,DISPONIBLE,7.8,2026-08-14T20:02:31.229493-03:00,,,,2026-08-14T20:02:31.229493-03:00,2026-08-14T20:02:31.229493-03:00,True
